permno,ticker
10000,OMFGA
10001,GFGC
10002,SABC
10003,GCBK
10005,WERC
10006,ACF
10007,SDIC
10008,GACO
10009,IROQ
10010,CBOT
10011,ATCS
10012,DPAC
10013,AAPI
10014,AJ
10015,AMFD
10016,FIGIA
10017,CCUR
10018,DCIS
10019,IFRS
10020,KEYC
10021,BIRI
10024,DOCX
10025,AEPI
10026,JJSF
10027,TNII
10028,MINT
10029,AIFS
10030,ABK
10031,ANTQ
10032,PLXS
10033,MABK
10034,HCSB
10035,GGUY
10036,NURO
10037,FSLA
10038,POCI
10039,ATCM
10040,HARVY
10041,GGGG
10042,CYNR
10043,AATI
10044,RMCF
10045,OLVR
10046,MENU
10047,LMNT
10048,CCCO
10050,ABCC
10051,SEQL
10052,VLVL
10053,CDNI
10054,BNUI
10055,GRAR
10056,NMIL
10057,AMT
10058,ABKC
10059,OFSLY
10060,FSCNY
10061,USBK
10062,ENSO
10063,NMRC
10064,TTOY
10065,ADX
10066,ABMC
10067,HYGA
10068,APGI
10069,AJIL
10070,DIGT
10071,ABSB
10072,DEWS
10074,ABSI
10075,VWRX
10076,SCAT
10077,STRS
10078,SUNW
10079,GCCC
10080,MHCO
10082,ACSE
10083,TKAI
10084,CRCC
10085,UCI
10086,LBSC
10087,BUTI
10088,VRBB
10089,ATGI
10090,AMSE
10091,ITXI
10092,LCIC
10093,AIRC
10094,TUES
10095,SYGN
10096,CIBA
10097,FIX
10098,PTEK
10099,ABCI
10100,AMCE
10101,PACR
10102,AN
10103,ACSC
10104,ORCL
10105,TPPS
10106,LNSB
10107,MSFT
10108,SNDT
10109,FCDA
10112,IFEX
10113,AADR
10114,AKLM
10115,CSBN
10116,HADR
10117,UMBE
10118,COHY
10119,TWEN
10120,PJC
10121,MCOR
10122,MDBK
10123,ACMI
10124,LERN
10125,LEOS
10126,OVWV
10127,PBFI
10128,LAMN
10130,FSTC
10131,SBTC
10132,NIBC
10133,TELQ
10134,EGCB
10135,FARK
10136,CABL
10137,AYE
10138,TROW
10139,ADFC
10140,SRCO
10141,GNDR
10142,IMTC
10143,OSIP
10144,NICE
10145,HON
10146,APLI
10147,EMC
10148,TRAD
10149,EBSI
10150,TLII
10151,GRV
10152,ADTI
10153,AH
10154,AELB
10155,ELGT
10156,JHSL
10157,NSBK
10158,AMRC
10159,ICTX
10160,SAND
10161,AMX
10162,AEST
10163,XRIT
10164,CAAN
10165,LBNK
10166,LLEC
10167,EVIAA
10168,ARNX
10169,PADS
10170,RYFL
10171,CTWL
10172,GNTE
10173,SEAB
10174,JNBK
10175,BARY
10176,TECC
10177,DMCO
10178,GBFE
10179,RCSB
10180,AKRX
10181,MUNI
10182,TECD
10183,ERCO
10184,ALFE
10185,MRLL
10186,SWCC
10187,HPLX
10188,AB
10189,AFAP
10190,CLRX
10191,TXEL
10192,MSCA
10193,RBCN
10194,SOMR
10195,CTEXB
10196,AF
10198,DELA
10199,ARBR
10200,RGEN
10201,AT
10202,CWCC
10203,PSBN
10204,UNTL
10205,TREX
10206,ESPC
10207,FUND
10208,ISTC
10209,AHD
10210,FSBG
10211,WCRP
10212,IFRA
10213,ATVC
10214,SIGN
10215,VVCO
10216,BURN
10217,ABN
10218,AFPC
10219,TLSS
10220,BWC
10221,IMSR
10222,FTTRV
10223,CIS
10224,SHIP
10225,AT
10227,KISC
10228,IFND
10229,NACS
10230,ANDB
10231,CBNH
10232,ESBK
10233,ABC
10234,AGMI
10235,APAS
10236,WEBS
10237,SURG
10238,GLK
10239,PTVCB
10240,WOMN
10241,PA
10242,TRFI
10243,AFED
10244,DSBE
10245,SHLY
10246,MIDS
10247,GTOS
10248,CIMC
10249,GIDE
10250,MRCO
10251,FSAM
10252,INDB
10253,TUSA
10254,STRL
10255,VERT
10256,ODSI
10257,DLHC
10258,AVAN
10259,SIGM
