permno,ticker_symbol
10026,JJSF
10028,MINT
10032,PLXS
10044,RMCF
10051,SEQL
10104,ORCL
10107,MSFT
10138,TROW
10145,HON
10158,AMRC
10200,RGEN
10220,BWC
10232,ESBK
10239,PTVCB
10252,INDB
10253,TUSA
10257,DLHC
10258,AVAN
10294,HVT
10308,TCTC
10318,BCP
10333,XOMA
10355,DJCO
10382,ASTE
10397,WERN
10421,SKYW
10443,FRKT
10463,REFR
10501,AMWD
10514,TWMC
10516,ADM
10517,AAN
10530,KITS
10547,CLFD
10550,PDEX
10606,WATTA
10629,FNB
10645,LAKE
10649,PTSI
10661,CYAN
10693,HRC
10696,FISV
10777,FCNCA
10779,BKTI
10781,BKSC
10812,HTLD
10860,OSUR
10866,BG
10874,BC
10886,DXYN
10890,BGH
10892,STSS
10901,ITIC
10909,CERN
10932,WBST
10933,MAKL
10966,AXGN
11006,FLIC
11018,FBP
11043,PCMC
11144,AVD
11154,PLAB
11174,DICE
11208,OFG
11267,CTR
11275,KRMD
11285,FBNC
11292,ICCC
11293,WSBC
11308,KO
11343,SAFM
11348,CNBKA
11368,AIRT
11369,UBSI
11370,ENV
11394,THMO
11397,WASH
11403,CDNC
11404,ED
11441,NHLD
11442,CHCO
11481,EBIX
11499,CECO
11511,CPSX
11533,FICI
11547,CNMD
11565,HBNC
11581,APWR
11587,ATRI
11593,SNLF
11600,XRAY
11618,FAST
11628,CPF
11636,APPA
11644,CRK
11654,NATA
11664,GDOT
11674,DTE
11691,ALEX
11701,IMKTA
11731,AAIC
11748,DGICB
11752,IIVI
11775,JWAIA
11786,SIVB
11790,ALCO
11803,MITK
11809,CLH
11825,CYBE
11844,PKVL
11850,XON
11884,JEAN
11891,MGMG
11896,MXIM
11955,USAS
11990,KKR
11992,TCF
11995,COKE
12008,DY
12009,QUAD
12017,XWEL
12036,GMT
12049,GORO
12052,GD
12060,GE
12062,LH
12068,OLDB
12073,PBCT
12078,ELMD
12089,RP
12146,CSBR
12166,FXBC
12189,HIFS
12209,LWAY
12211,LINZ
12226,MGPI
12266,TCLN
12307,AMRS
12308,CHTR
12310,HGSH
12350,MULN
12358,NFEC
12360,PACB
12362,STND
12363,VRA
12366,BAH
12369,GM
12373,HHC
12374,IPHI
12380,PCYG
12400,LPLA
12413,ZGNX
12437,ABH
12448,FRC
12449,FLT
12452,INFU
12473,SWFT
12476,TRGP
12477,WD
12480,ACNB
12487,HFBL
12488,LEDS
12490,IBM
12493,QADA
12494,RNET
12497,ASMB
12502,OFED
12503,HR
12515,BKU
12521,LEAF
12527,IBIO
12558,KMI
12559,NPTN
12570,IT
12573,ACRX
12577,FLDM
12579,GEVO
12583,PCRX
12588,USCR
12591,APO
12592,XTNT
12615,FF
12622,HCA
12623,HII
12629,MX
12639,CSOD
12640,SREV
12641,AL
12650,KSU
12758,ECOL
12781,LG
12783,THR
12788,KOS
12789,AMPE
12796,SAVE
12798,WIFI
12840,LODE
12872,MPC
12877,PTGI
12880,AMCX
12905,SXC
12913,CHEF
12920,IROQ
12927,ZG
12981,FBHS
13006,FMNB
13007,LCNB
13019,GNE
13035,XYL
13046,UI
13084,MN
13085,VAC
13105,ACHC
13107,CLVS
13108,GRPN
13111,NLNK
13116,BCEI
13124,LPI
13141,WPX
13159,FBIO
13168,TRIP
13169,ZNGA
13181,GWRE
13188,POST
13196,RLGT
13198,BOTJ
13201,REGI
13202,VSTM
13210,EPAM
13244,MTDR
13249,PRLB
13253,SLCA
13260,BCOV
13262,CCXI
13265,OIG
13278,HMST
13279,NUWE
13280,SYNC
13284,ALSN
13302,RM
13303,LT
13305,ZWS
13316,VCRA
13318,YELP
13323,ENPH
13324,GALT
13325,MACK
13326,MTSI
13328,HEAR
13337,FET
13343,MRC
13356,PSX
13369,CLIR
13375,FRGI
13377,PFPT
13379,SPLK
13399,TLYS
13407,META
13410,SUPN
13411,TROV
13412,SSC
13429,ALEX
13447,NOW
13453,CEMI
13455,BURG
13507,ANAT
13508,NGVC
13511,PANW
13520,CHUY
13521,CPAH
13527,FIVE
13528,FSBW
13532,HBMD
13534,HTBI
13537,FRG
13543,GMED
13548,BLMN
13559,PFMT
13561,SFBC
13577,HY
13579,NBHC
13599,LFVN
13600,QLYS
13604,BERY
13610,OLM
13621,PBYI
13622,HOUS
13625,SSTK
13628,WDAY
13641,FANG
13643,ICPT
13648,LPTN
13652,RGLS
13687,RH
13688,PCG
13693,ATOS
13694,CHMG
13704,NEO
13712,UIHC
13721,ABBV
13730,PBF
13739,BFAM
13743,VTOL
13748,TPH
13750,ACST
13755,KBIO
13757,LMCA
13766,BCC
13769,AMSH
13777,AMSWA
13788,ZTS
13796,IMMY
13797,INBK
13798,ORMP
13799,XONE
13802,APAM
13812,MRIN
13816,MODN
13825,ENTA
13828,IPDN
13837,EVTC
13844,NSPR
13856,PEP
