index,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
0,1963-07-31,-0.39,-0.41,-0.97,0.68,-1.18,0.27
1,1963-08-31,5.07,-0.8,1.8,0.36,-0.35,0.25
2,1963-09-30,-1.57,-0.52,0.13,-0.71,0.29,0.27
3,1963-10-31,2.53,-1.39,-0.1,2.8,-2.01,0.29
4,1963-11-30,-0.85,-0.88,1.75,-0.51,2.24,0.27
5,1963-12-31,1.83,-2.1,-0.02,0.03,-0.07,0.29
6,1964-01-31,2.24,0.13,1.48,0.17,1.47,0.3
7,1964-02-29,1.54,0.28,2.81,-0.05,0.91,0.26
8,1964-03-31,1.41,1.23,3.4,-2.21,3.22,0.31
9,1964-04-30,0.1,-1.52,-0.67,-1.27,-1.08,0.29
10,1964-05-31,1.42,-0.63,1.86,-0.16,0.17,0.26
11,1964-06-30,1.27,0.29,0.62,-0.28,-0.17,0.3
12,1964-07-31,1.74,0.5,0.75,0.08,1.91,0.3
13,1964-08-31,-1.44,0.41,0.08,0.12,0.35,0.28
14,1964-09-30,2.69,-0.34,1.7,-0.56,0.62,0.28
15,1964-10-31,0.59,0.87,1.17,-0.43,0.47,0.29
16,1964-11-30,0.0,-0.15,-1.96,0.63,-0.26,0.29
17,1964-12-31,0.03,-0.69,-2.48,1.07,-1.5,0.31
18,1965-01-31,3.54,2.44,0.12,0.91,0.1,0.28
19,1965-02-28,0.44,3.31,0.11,0.23,-0.68,0.3
20,1965-03-31,-1.34,2.12,1.03,-0.32,0.69,0.36
21,1965-04-30,3.11,1.05,0.66,0.3,-2.2,0.31
22,1965-05-31,-0.77,0.1,-1.61,-0.45,0.53,0.31
23,1965-06-30,-5.51,-4.28,0.59,0.22,0.37,0.35
24,1965-07-31,1.43,1.08,2.2,-1.37,0.03,0.31
25,1965-08-31,2.73,2.71,-1.0,1.9,-0.74,0.33
26,1965-09-30,2.86,0.62,-0.13,-0.89,0.8,0.31
27,1965-10-31,2.6,3.47,1.56,1.17,-0.65,0.31
28,1965-11-30,-0.03,5.19,0.15,-1.01,-0.94,0.35
29,1965-12-31,1.01,2.66,2.03,-1.14,-0.53,0.33
30,1966-01-31,0.72,4.68,3.56,-2.82,-0.11,0.38
31,1966-02-28,-1.21,4.71,0.33,-0.17,-1.49,0.35
32,1966-03-31,-2.51,0.32,-1.98,1.3,0.06,0.38
33,1966-04-30,2.14,3.35,-0.46,0.39,-0.95,0.34
34,1966-05-31,-5.66,-5.1,-1.63,1.64,-1.52,0.41
35,1966-06-30,-1.44,1.37,0.5,0.15,0.78,0.38
36,1966-07-31,-1.63,-0.41,0.95,-0.36,1.79,0.35
37,1966-08-31,-7.91,-3.12,0.43,-0.09,0.8,0.41
38,1966-09-30,-1.06,-1.14,0.56,-1.68,2.37,0.4
39,1966-10-31,3.86,-6.45,2.69,-3.48,4.25,0.45
40,1966-11-30,1.4,3.34,-4.69,4.13,-6.62,0.4
41,1966-12-31,0.13,2.02,-1.19,0.7,-0.34,0.4
42,1967-01-31,8.15,9.1,2.27,0.96,-3.16,0.43
43,1967-02-28,0.78,3.06,-2.22,1.99,-0.99,0.36
44,1967-03-31,3.99,1.87,0.37,0.86,-1.6,0.39
45,1967-04-30,3.89,0.43,-2.48,2.33,-3.67,0.32
